Mechanism,Project,Votes
maxVotingResults,0,35
maxVotingResults,1,212
maxVotingResults,2,295
maxVotingResults,3,156
maxVotingResults,4,243
maxVotingResults,5,228
maxVotingResults,6,200
maxVotingResults,7,358
maxVotingResults,8,305
maxVotingResults,9,394
quadraticNoAttackResults,0,95.60736069341232
quadraticNoAttackResults,1,99.59738134872192
quadraticNoAttackResults,2,101.84337007658218
quadraticNoAttackResults,3,97.47842502062305
quadraticNoAttackResults,4,93.92373515842448
quadraticNoAttackResults,5,103.94659987571801
quadraticNoAttackResults,6,95.5219391102441
quadraticNoAttackResults,7,105.54602337864199
quadraticNoAttackResults,8,108.68835001082039
quadraticNoAttackResults,9,103.0780201576393
meanNoAttackResults,0,4.608039630256726
meanNoAttackResults,1,4.722827755756446
meanNoAttackResults,2,4.828305648315632
meanNoAttackResults,3,4.615560933314865
meanNoAttackResults,4,4.3973127275343815
meanNoAttackResults,5,5.242595141253355
meanNoAttackResults,6,4.230532939481328
meanNoAttackResults,7,5.424934278449112
meanNoAttackResults,8,5.45118226763135
meanNoAttackResults,9,4.998708678006801
quadraticVoterCollusionResults,0,90.94184944701078
quadraticVoterCollusionResults,1,96.83182856524894
quadraticVoterCollusionResults,2,103.96547652341428
quadraticVoterCollusionResults,3,94.89877909898567
quadraticVoterCollusionResults,4,89.99825430812272
quadraticVoterCollusionResults,5,101.18810829786287
quadraticVoterCollusionResults,6,91.37207058042527
quadraticVoterCollusionResults,7,109.72879526030916
quadraticVoterCollusionResults,8,104.8730268546195
quadraticVoterCollusionResults,9,99.77205842759034
quadraticProjectCollusionResults,0,120.40722239751143
quadraticProjectCollusionResults,1,84.65049864459628
quadraticProjectCollusionResults,2,83.98725034691608
quadraticProjectCollusionResults,3,79.67744942073956
quadraticProjectCollusionResults,4,78.15135409984809
quadraticProjectCollusionResults,5,85.02245387765541
quadraticProjectCollusionResults,6,78.93560191441217
quadraticProjectCollusionResults,7,88.30112321138235
quadraticProjectCollusionResults,8,92.9098941847929
quadraticProjectCollusionResults,9,120.11910136009736
meanVoterEpsilonResults,0,4.658463780285943
meanVoterEpsilonResults,1,4.735515194209643
meanVoterEpsilonResults,2,4.910833692150598
meanVoterEpsilonResults,3,4.650820448873026
meanVoterEpsilonResults,4,4.446869219737495
meanVoterEpsilonResults,5,5.178599128092423
meanVoterEpsilonResults,6,4.952209021590533
meanVoterEpsilonResults,7,5.415957688177643
meanVoterEpsilonResults,8,5.483087120871705
meanVoterEpsilonResults,9,4.976783297407099
meanProjectEpsilonResults,0,4.5598603224551875
meanProjectEpsilonResults,1,4.925662412894858
meanProjectEpsilonResults,2,4.7702588941033035
meanProjectEpsilonResults,3,4.459648183280383
meanProjectEpsilonResults,4,4.249135878140769
meanProjectEpsilonResults,5,4.962077470333831
meanProjectEpsilonResults,6,4.157195392427298
meanProjectEpsilonResults,7,5.4309227894522145
meanProjectEpsilonResults,8,5.673766837359764
meanProjectEpsilonResults,9,11.37786576481505
trueVotingResults,0,230.40198151283641
trueVotingResults,1,236.1413877878224
trueVotingResults,2,241.41528241578152
trueVotingResults,3,230.77804666574323
trueVotingResults,4,219.8656363767191
trueVotingResults,5,262.1297570626677
trueVotingResults,6,211.52664697406644
trueVotingResults,7,271.2467139224556
trueVotingResults,8,272.55911338156744
trueVotingResults,9,249.93543390033997
